fpType,relIndex,absIndex,fpName,smarts
insilico,3530,12552,Un12552,[OX2][cH0]1[cH1][cH0]([cX3](a)[CX4])[cX3](a)[cH1][cH1]1
insilico,3531,12555,Un12555,[CX4][CH2][CX4]([CH2][CX4])([CX4])
insilico,3532,12557,Un12557,[CX4][CH2][CX4]([CH1]([CX4])[CH2][CX4][CX3])
insilico,3533,12558,Un12558,[CX4](a)[OH0][CH1]([CH1]([CX4][OH1])[OH1])[CH2][OH1]
insilico,3534,12559,Un12559,[NX3][CH1]([CX3](=[OH0]))[CH2][cH0]1[cH1][cH1][cH1][cH1][cH1]1
insilico,3535,12560,Un12560,[cH1]1:[cH0](:n:[cH1]:n1)[#6]
insilico,3536,12562,Un12562,[#8][cH0]1:[cH1]:[cH1]:[cH0](:[cH1]:[cH1]1)[#7]
insilico,3537,12563,Un12563,[CH3][cH0](:[cH0](:[#6])O[CH3]):[#6]
insilico,3538,12565,Un12565,[CH3][cH0]1[cX3]([cX3]([cX3]([cH0]([cX3]1)[OH0][CH3])))
insilico,3539,12566,Un12566,n1:[cH1]:[cX3]:[cX3](:n:[cX3]1)
insilico,3540,12568,Un12568,[cX3](a)[cX3][cH0]([CX4][CX4])[cX3][cX3]a
insilico,3541,12570,Un12570,[#7][cH0]1:n:[cH0](:[cH0]([#7]):[cX3](:n1))[#7]
insilico,3542,12571,Un12571,[SX4](=[OH0])(=[OH0])[CH3]
insilico,3543,12572,Un12572,[#8][cH0]1:[cH1]:[#6](:[#6]:[cH0](:[cH1]1)O[CH1]([cH0]1:[cH1]:[cH1]:[cH0](:[cH1]:[cH1]1)[#8])[#6])
insilico,3544,12576,Un12576,[cH1]1:[cH1]:[cH1]:[#6]:[#6]:[cH0]1[CH1]([#6])N([#6])[#6]
insilico,3545,12577,Un12577,[#6][CH0](=[#8])[cH0]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH1]1
insilico,3546,12578,Un12578,[CX4]([CH3])[CH1]([CX3][OH1])[NH1][CH0](=[OH0])[CX4][NX3]
insilico,3547,12579,Un12579,[CH3][CH1]([CH1]([CH1]([#6])O[#6])O)[#8]
insilico,3548,12583,Un12583,[CX3][CH1]([NX3])[cX3]([cX3]a)a
insilico,3549,12585,Un12585,N#[CH0][CH2][#6]
insilico,3550,12586,Un12586,O=[CH0]([CH2][#6])[#8]
insilico,3551,12588,Un12588,[NX3][CH0](=[OH0])[CX4][CX4][CX4][CH3]
insilico,3552,12592,Un12592,[CX3][CX4]([CX4]([CH2][CH2][CX4][CH3]))[CH3]
insilico,3553,12593,Un12593,[CH3]N[CH2][CH2][#8]
insilico,3554,12597,Un12597,[CX4]([CH1]([CX4][nX3]([cX3]a)a)[OH1])
insilico,3555,12599,Un12599,[CX4]([CH2][OX2])([CX4])[CX4]
insilico,3556,12603,Un12603,n1:[cH1]:[cX3]:s:[cX3]1
insilico,3557,12606,Un12606,[CX4]([CX4][CH2][CX4]([CX4][CX3](=[CX3])))[CH3]
insilico,3558,12607,Un12607,S[cH0](:[#6]):[#6]
insilico,3559,12609,Un12609,[CH3][CH0]12[CH2][CH2][CH0]([#6])([CH1]([CH0]1=[CH1][CH2][CH1]1[CH0]2([CH2][CH2][CH1]2[CH0]1([CH2][CH2][CH1]([#6]2)O[#6])[CH3])[CH3])[#6])[CH0](=O)[#8]
insilico,3560,12610,Un12610,[CX4][CH2][CX3](=[CX3][CH0](=[OH0])[CX4])
insilico,3561,12613,Un12613,[CX3]=[CH1][CX4][CX4]([CX4])[OH1]
insilico,3562,12615,Un12615,[#8]=[CH0](O[#6])[cH0]1:[cH1]:[cH1]:[#6](:[cH1]:[cH1]1)
insilico,3563,12617,Un12617,O=[CH0]([CH1](N[#6])[#6])N[CH1]([#6])[CH0](=[#8])O
insilico,3564,12618,Un12618,[CX4]([NX3][CX3]=[OH0])[CH0](=[OH0])[OH1]
insilico,3565,12619,Un12619,[CH3][CH0]1[CH2][CH2][#6][#6][CH1]1
insilico,3566,12620,Un12620,[CH3][NX3]([CX4][cH0]([cX3]a)[cX3]a)
insilico,3567,12624,Un12624,O=P(O[CH2][CH1]([#6])O[#6])(O)O
insilico,3568,12625,Un12625,[cX3](a)[cH1][cX3](a)[SX4][NX3]a
insilico,3569,12627,Un12627,[cX3]([cX3]([cH1][cX3](a)))[cX3](a)[ClH0]
insilico,3570,12629,Un12629,[CH3][CX4]([CH1]([CX4])[OH0][CX4])
insilico,3571,12631,Un12631,[CX4][CH2][CX4]([CH1]([CH1]1[CX4][CH2][CX4]([CX4]1[CH3]))[CH3])
insilico,3572,12632,Un12632,[cX3](a)([cH1][cH1][cX3](a)[CX4]([CX4]([CX3](=[OH0]))))[OH1]
insilico,3573,12633,Un12633,[CX4][CH2][CX4]([CH1]1[CH2][CX4]([CX4]([CX4]1[CX4])))
insilico,3574,12635,Un12635,[NX3][CH0](=[OH0])[CH1]([CX4])[NX3]([CX4])
insilico,3575,12636,Un12636,[CX4][CH2][CX4]1([CH2][CH2][CH1]2[CX4]3([CH2][CH2][CX4]([CH0]3([CH2][CH2][CH1]2[CX4]1)[CH3])))
insilico,3576,12639,Un12639,[CX4][CH2][CH2][CH2][CH2][CX4]
insilico,3577,12640,Un12640,[CX4]1[CH2][CH2][CH2][CH2][CX4]1[OH1]
insilico,3578,12643,Un12643,[NX3][CH2][CH2][CX4][CX3](=[OH0])
insilico,3579,12645,Un12645,[CX4][CX4]([CX4][OH0][CX3]=[OH0])[CH3]
insilico,3580,12646,Un12646,[CX4][NX3][CH2][CX4]([CX4])
insilico,3581,12647,Un12647,[cX3](a)([cH1][cX3]a)[cX3]([cH0]([cH1][cX3]a)[cX3](a)a)
insilico,3582,12648,Un12648,[cX3]1[cX3]([cH1][cX3]([cX3]([cH0]1[OH1])))
insilico,3583,12649,Un12649,Cl[cH0]1:[cH1]:[cH0](:[cX3]:[cH1]:[cH1]1)[#17]
insilico,3584,12651,Un12651,O=[CH0]([CH1](N[#6])[CH2][cH0](:[#6]):[cH1]:[cH1]:[#6])O
insilico,3585,12652,Un12652,[CH3][CH0](=O)N[CH1]1[CH1]([CH1]([CH1](O[CH1]1O[#6])[CH2][#8])O)[#8]
insilico,3586,12654,Un12654,[CX4]1[cH0]2[cH1][cX3]([cH0]([cH1][cH0]2[CH2][CH2][NX3]1)[OH0][CH3])
insilico,3587,12660,Un12660,[cX3]1[cH1][cX3]([cH0]([cH0]([cX3]1)[CX4])[NH2])
insilico,3588,12661,Un12661,[CX4][CH2][CH1]([NX3][CX3]=[OH0])[CH0](=[OH0])[OH1]
insilico,3589,12662,Un12662,[#7][CH1]([CH1]([CH1]([CH1]([#6])[#8])O)[#8])[#6]
insilico,3590,12663,Un12663,[CX4]([CH2][NX3][CH2][CX4][CH2][CX4])
insilico,3591,12665,Un12665,[CH3][CH0]1([CH1]=[CH1][#6]([#6](=[CH0]1[CH2][#6])))[#6]
insilico,3592,12666,Un12666,[cH1]1:[cH0]([#6]):[cH0]2:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]2:n1[CH2][CH2][#6]
insilico,3593,12668,Un12668,O[CH2][CH1]([CH2][#8])[#8]
insilico,3594,12674,Un12674,[CX4][CH0](=[OH0])[NH1][cH0]1[cX3][cX3]([cH1][cH1][cH1]1)
insilico,3595,12676,Un12676,[cX3]1[cH1][cX3]([cH0]([cX3]([cH1]1))[CX3](=[OH0]))
insilico,3596,12677,Un12677,[cH1]1[cH1][cX3]([cH0]([cH1][cX3]1)-[cX3]([nH0][nX3]a)a)
insilico,3597,12680,Un12680,O=[CH0](O[#6])[cH0](:[#6]):[cH1]:[cH1]:[#6]
insilico,3598,12683,Un12683,[CH2]([CH2]N([CH2][CH1]=[#6])[#6])[#6]
insilico,3599,12684,Un12684,[CX4]([CX4]([CH1]([CX4]([CX4]))[OH1]))
insilico,3600,12685,Un12685,[cX3](a)([cX3]a)[OH0][CX3][NX3]
insilico,3601,12686,Un12686,[cX3](a)([cX3](a))[cH0]([cX3]([cX3]a))[nX2]a
insilico,3602,12688,Un12688,[CX4]([CH2][CX4][CX4]([CH2][CX4]))[CH3]
insilico,3603,12689,Un12689,[#6][CH0]([CH1]([#6])O)([CH3])[#6]
insilico,3604,12691,Un12691,[#6][CH0](=[#8])N1[CH2][#6][#6]([CH2][CH2]1)
insilico,3605,12692,Un12692,I[cH0](:[#6]):[cH1]:[#6]
insilico,3606,12694,Un12694,[#6][cH0]1:[cH0]([#6]):n:[cH0]2:[cH1]:[cX3](:[cH0](:[cH1]:[cH0]12)[#8])
insilico,3607,12696,Un12696,[CX3](=[CX3]([CX4][CH0](=[CX3])[CX4]))
insilico,3608,12697,Un12697,[CX4][NX3][CH1]([CH2][CH2][CX4])[CX4]
insilico,3609,12698,Un12698,O=[CH0]([#7])[CH1]([#6])N[CH0](=O)[CH1]([#6])N[#6]
insilico,3610,12700,Un12700,[#8]=[CH0]([cH0]1:[cH1]:[cH1]:[cH0](O[#6]):[cH1]:[cH1]1)N
insilico,3611,12701,Un12701,O([#15])[CH2][#6]
insilico,3612,12705,Un12705,[CH3][cH0]([cH0]([cH1][cX3]a)[OX2])[cX3](a)
insilico,3613,12706,Un12706,[CH3][CH0]1=[CH1][CX4]([CX4]([CX4]([CX4]1)))
insilico,3614,12714,Un12714,[CX4]([CX4]([cH0]1[cH1][cH1][cH1][cH1][cH1]1))[NX3][CH2][CH2][CX4]
insilico,3615,12716,Un12716,[CH3]O[cH0]1:[cH0](:[cH1]:[cH1]:[cH0](:[cH1]1)[CH1]=[#6])O[#6]
insilico,3616,12720,Un12720,[CX4]([CX4][CX4])([CH2][CX4])[CH0](=[OH0])[OX2]
insilico,3617,12721,Un12721,[CX4][cH0]1[cX3]([cH1][cH0]([cH1][cH1]1)[ClH0])
insilico,3618,12722,Un12722,[CH3][CH0]12[CH2][CH2][CH0]([CH1]=[CH0]2[#6][#6]([CH1]([CH1]1[CH2][#6])[#6]))=[#8]
insilico,3619,12723,Un12723,O=[CH0](O[CH1]([CH1]([#6])[#8])[#6])[CH1]=[CH1][cH0]1:[cH1]:[cH1]:[cH0](:[cH1]:[cH1]1)[#8]
insilico,3620,12724,Un12724,[#8]=[CH0]([cH0]1:[cH0](:[cH1]:[cH1]:[cH1]:[cH1]1)[#6])N[#6]
insilico,3621,12727,Un12727,[CX4][CH2][CX4]([CX4]([CX4]([CH2][OH1])))
insilico,3622,12728,Un12728,[CX4][CX4]([CH0]([CX4]([CX4]))([CH3])[CH3])
insilico,3623,12729,Un12729,[nX3](a)[cH0]1[cX3](a)[cH1][cH1][cX3]([cX3]1)
insilico,3624,12730,Un12730,[NX3]([CX4][CH2][cX3](a)[cH1][cX3]a)[CH3]
